smc	Symbiodinium microadriaticum
esi	Ectocarpus siliculosus
pin	Phytophthora infestans
pra	Phytophthora ramorum
psj	Phytophthora sojae
pti	Phaeodactylum tricornutum
xbo	Xenoturbella bocki
bbe	Branchiostoma belcheri
bfl	Branchiostoma floridae
cin	Ciona intestinalis
csa	Ciona savignyi
odi	Oikopleura dioica
pma	Petromyzon marinus
xla	Xenopus laevis
xtr	Xenopus tropicalis
apl	Anas platyrhynchos
cli	Columba livia
gga	Gallus gallus
tgu	Taeniopygia guttata
cfa	Canis familiaris
dno	Dasypus novemcinctus
ocu	Oryctolagus cuniculus
aja	Artibeus jamaicensis
eca	Equus caballus
efu	Eptesicus fuscus
pal	Pteropus alecto
mdo	Monodelphis domestica
meu	Macropus eugenii
sha	Sarcophilus harrisii
age	Ateles geoffroyi
lla	Lagothrix lagotricha
cja	Callithrix jacchus
sbo	Saimiri boliviensis
sla	Saguinus labiatus
mml	Macaca mulatta
mne	Macaca nemestrina
pbi	Pygathrix bieti
pha	Papio hamadryas
mmr	Microcebus murinus
dma	Daubentonia madagascariensis
oga	Otolemur garnettii
ggo	Gorilla gorilla
hsa	Homo sapiens
ppa	Pan paniscus
ppy	Pongo pygmaeus
ptr	Pan troglodytes
ssy	Symphalangus syndactylus
nle	Nomascus leucogenys
lca	Lemur catta
oan	Ornithorhynchus anatinus
cgr	Cricetulus griseus
cpo	Cavia porcellus
mmu	Mus musculus
rno	Rattus norvegicus
bta	Bos taurus
chi	Capra hircus
oar	Ovis aries
tch	Tupaia chinensis
ssc	Sus scrofa
aca	Anolis carolinensis
ami	Alligator mississippiensis
cpi	Chrysemys picta
oha	Ophiophagus hannah
pbv	Python bivittatus
abu	Astatotilapia burtoni
ccr	Cyprinus carpio
dre	Danio rerio
eel	Electrophorus electricus
fru	Fugu rubripes
gmo	Gadus morhua
hhi	Hippoglossus hippoglossus
ipu	Ictalurus punctatus
mze	Metriaclima zebra
nbr	Neolamprologus brichardi
ola	Oryzias latipes
oni	Oreochromis niloticus
pny	Pundamilia nyererei
pol	Paralichthys olivaceus
ssa	Salmo salar
tni	Tetraodon nigroviridis
lva	Lytechinus variegatus
pmi	Patiria miniata
spu	Strongylocentrotus purpuratus
sko	Saccoglossus kowalevskii
isc	Ixodes scapularis
pte	Parasteatoda tepidariorum
rmi	Rhipicephalus microplus
tur	Tetranychus urticae
dpu	Daphnia pulex
mja	Marsupenaeus japonicus
tcf	Triops cancriformis
aae	Aedes aegypti
aga	Anopheles gambiae
ame	Apis mellifera
